catalog,model,generated_title,llm_says,llm_pick,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,human_in,llm_dep,llm_in,llm8_in,tset_in,tsort_in,surf_in,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
yelp,llama,Swad Indian Restaurant,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,PSo_C1Sfa13JHjzVNW6ziQ,SwWfW3vBn5QkDE7T3urGAg,W4rgF_1eKzFZiGUOsgbGMA,kGjpBqAqG4mIuFSgU2KKEA,6mCsrUp9Vl4iXMbOxWtVjA,HjLYCBxJti8V-hsP_yVZ3w,N1ZXhAVzOzbyCBPEXTaUUw,HJNRlG5nM4Bxy97PmNNaTQ
yelp,llama,Bistro 222,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,j95Z749kLfchv_UTpxVpag,Agdp78S4SJ2g1huOx1N1Qg,ZEd_RWWRVGqLlM5DUiXCeA,VrGxoSNZfSiT-G4OqRRGIw,5iuo1kvv0XZMS0bUOoLz2Q,rR30b1XWbxZFFgLyGbfNAw,ngvE1G9IckUO-ljZBFo23w,bdfZdB2MTXlT6-RBjSIpQg
yelp,claude,Hungry Howie's Pizza,IN,,,,,,,,,,5,True,True,True,True,True,True,True,dxexiQ58O06mgl9upWR7rw,dxexiQ58O06mgl9upWR7rw,dxexiQ58O06mgl9upWR7rw,dxexiQ58O06mgl9upWR7rw,S6H3aQ-EWatBIWulJxv20w,dxexiQ58O06mgl9upWR7rw,dxexiQ58O06mgl9upWR7rw,S6H3aQ-EWatBIWulJxv20w
amazon,mistral,Barbie Loves Pop Culture: Star Wars Princess Leia and Han Solo Gift Set,OUT,,Funko POP Star Wars The Force Awakens Han Solo and Princess Leia 2 Piece BUNDLE,Star Wars Han Solo Princess Leia,Mini Disney Tsum Tsum Plush Star Wars Bundle Set of 2 Tsum's- Princess Leia and Han Solo,"Play-Doh Star Wars Millennium Falcon Featuring Can-Heads - Tie Fighter, X-Wing Exclusive with 10 Can Heads - Featuring Luke Skywalker, Han Solo, Princess Leia, Chewbacca and Darth Vader by Disney","Star Wars Action Collection 12"" Luke Skywalker, Princess Leia, & Han Solo Figure Set",Star Wars Galactic Heroes Figure Set - Princess LEIA (Boushh Disguise) & HAN Solo,Commemorative Edition Skywalker Saga Gold Han Solo & Princess Leia,Star Wars Galactic Heroes Episode 2 Junior Figure 2 Pack Han Solo & Leia,0,False,False,False,False,True,False,False,B01AS3E9V4,B00SD8IRP6,B01J7252MC,B017LX9400,B000CRPQ1O,B000QSCP8Q,B07YQDYF74,B00026RH2Q
amazon,claude,Our Generation Sweet Stop Ice Cream Truck for 18-Inch Dolls,IN,"Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Ice Cream Truck for 18 Inch Dolls, Pink","Our Generation Doll by Battat- Lorelei 18"" Deluxe Posable Ice Cream Fashion Doll with Book & Accessories- for Age 3 Years & Up",Our Generation-Sweet Dreams Under The Stars Teepee (Pink)- Tent and Accessories for 18 inch Dolls- Ages 3 Years & Up,Our Generation Sweet Dreams Under the Stars TeePee Tent Pink Compatible with All 18 Dolls,Our Generation Sweet Stop Playset,1,True,True,True,True,True,True,True,B01DJ69LAG,B01DJ69LAG,B01DJ69LAG,B06XRH3XV8,B06XS4GNLN,B01577LEZA,B01DJ69KAM,B01D0B466O
movielens,gpt-oss,Edge of Tomorrow (2014),IN,,,,,,,,,,1,True,True,True,True,True,True,True,111759,1615,2626,2928,3102,3270,4218,4318
amazon,llama,LEGO DUPLO Large Building Brick Set,IN,LEGO DUPLO Brick Set,JIXIn Dinosaur Marble Run Building Blocks/Compatible with LEGO DUPLO/Dino Eggs Fun Marble Maze Blocks/125 PCS Classic Brick Building Toy Set for Preschool Kids/Gift Toy for Boys/Girls Age 3 4 5 6 7 8+,"LEGO StoryTales DUPLO Brick Set 45005, Language Development Educational Toy for Girls and Boys Ages 3 and up (109 Pieces)",LEGO DUPLO My First Animal Brick Box 10863 Building Blocks (34 Pieces),"LEGO DUPLO Disney Princess Frozen Ice Castle 10899 Building Toy with Light Brick, Princess Elsa and Anna Mini-Dolls Plus Olaf Figure, Gifts for 2 Year Old Toddlers, Girls & Boys",Creative Lego DUPLO Brick Set 45019 Fine Motor Skill Developmental Toy for Girls and Boys Ages 3 and up (160 Pieces),Brick Nation Wooden Lego Compatible Tray Framed Green Plastic 10x10 Baseplate Perfect Travel Lap for Kids to Build On - Compatible with Duplo & Classic Bricks,LEGO DUPLO: Creative Fun 120 Piece Building Brick Set 10887 - Preschool Toy,"LEGO DUPLO Classic Brick Box Building Set 10913 - Features Storage Organizer, Toy Car, Number Bricks, Build, Learn, and Play, Great Gift Playset for Toddlers, Boys, and Girls Ages 18+ Months",0,False,False,True,True,True,False,False,B0BTPCJ3XS,B00HFV0SLS,B075M1G94H,B08X2PZ298,B07XRSNCXB,B07CJK6JN3,B002AMVVTU,B07WJJF8PB
amazon,claude,Crayola Ultimate Light Board Drawing Tablet,IN,"Crayola Ultimate Light Board - Blue, Drawing Tablet & Tracing Pad, Kids Toys, Gifts For Boys & Girls, Ages 6+ [Amazon Exclusive]","Crayola Ultimate Light Board - Blue, Drawing Tablet & Tracing Pad, Kids Toys, Gifts For Boys & Girls, Ages 6+ [Amazon Exclusive]","Ultimate Light Board, Drawing Tablet, Gift for Kids, Age 6, 7, 8, 9 (2 Pack)",Crayola Dry Erase Activity Tablet Exploring Numbers and Counting,Crayola Dry Erase Activity Tablet Fun and Letters Farm,Crayola Dry Erase Activity Tablet Deep Sea Dot to Dots and More,Crayola Dry Erase Activity Tablet Construction Mazes and More,"LCD Writing Tablet 10 Inch Toddler Doodle Board, Colorful Drawing Tablet, Erasable Electronic Painting Pads, Educational and Learning Kids Toy for 2 3 4 5 6 Year Old Boys and Girls Gifts(Dark Blue)",LCD Writing Tablet for Kids - Youasic Drawing Tablet Doodle Board 10inch Colorful Toddler Drawing Pad Learning Toys Gift for Kids 3 4 5 6 7 8 Year Old Girls Boys (Blue),1,True,True,True,True,True,False,False,B0C9K2SMBZ,B0816VSQQY,B004XMNHQU,B004XMNHME,B004XMNHTM,B004XMNHSI,B095YVXCYQ,B0BW911H38
amazon,llama,Transformers Robots in Disguise 3-Step Changers Bumblebee Figure,OUT,,Transformers Robots in Disguise 1-Step Changers Bumblebee Figure,Transformers Robots in Disguise 3-Step Changers Night Ops Bumblebee Figure,Transformers Robots in Disguise 1-Step Changers Decepticon Fracture Figure,Transformers Robots in Disguise 1-Step Changers Gold Armor Grimlock Figure,Transformers Robots in Disguise 3-Step Changers Grimlock Figure,Transformers Robots in Disguise One-Step Changers Strongarm Figure,Transformers Robots in Disguise 3-Step Changers Sideswipe Figure,Transformers Robots in Disguise 1-Step Changers Thunderhoof Figure,0,False,False,False,False,True,True,True,B00LXCKKDG,B00P3XW8TK,B00P3XW2DM,B00P3XW228,B00LXCKNOC,B00LXCKKIQ,B00P3XW8YK,B00P3XW2GE
yelp,llama,Jackalope Brewing Company,OUT,,,,,,,,,,1,True,True,False,False,True,False,True,bjA-MBtEdiOtiBntcRw45A,LkGbYvB4f-8n3lb5TvOY6A,btFjp4USFjAdCzliAaKDZw,pUVRCYL8rT4I5Ry5FYkRsA,5ODCsQbRdsFIWlypGF3iUw,0CLCzdedGT2DPjkYM52Tqg,yQjEjXR3E_9bLTK-Xj07FA,pnXfh95NclVKgDl0dLcRKg
movielens,claude,Rain Man (1988),IN,,,,,,,,,,1,True,True,True,True,True,True,True,1961,2675,214,899,1752,2904,4572,4695
movielens,gpt-oss,Forrest Gump,IN,,,,,,,,,,1,True,True,True,True,True,True,True,356,3682,131320,150838,153945,199510,202051,40755
yelp,claude,Saffron Indian Cuisine,IN,,,,,,,,,,1,True,True,True,True,True,True,True,bSiDa26a7NN0zIT3XI9GRw,bSiDa26a7NN0zIT3XI9GRw,bSiDa26a7NN0zIT3XI9GRw,bSiDa26a7NN0zIT3XI9GRw,yEKmlxvhA2EWrMLbwWi7Hw,gu-u6gf6RMxRijnmUopm3A,FIDLmYEuCtSj_rc8lqaKFw,t47GOxTM-RpfNs0IqHzJTg
yelp,gpt-oss,Mikado Sushi Bar,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,t_aNcQGJWX6e7yBV4XutCA,ZcYFylbiFArKxpOQWxkIBQ,VlbhF2v7WmmuVaycSe--RA,3DQ2h_AAIEBNHBsES_UvWQ,bomWt45sZoEe7P5L5I5SgA,WP6yIGevdeszbnDH-Yc55Q,p7skNVy_2fV6RCAJK0yO5g,15hcLfY9J-4rdTlIkdK0fg
movielens,claude,Michael Clayton (2007),IN,,,,,,,,,,1,True,True,True,True,True,True,True,55276,891,991,1409,1985,1986,4453,47135
yelp,mistral,Suraya,IN,,,,,,,,,,1,True,True,True,True,True,True,True,vUrTGX_7HxqeoQ_6QCVz6g,rApVTXXz2sUrNfDAMAIeNQ,xp3qKjQ9pAtkH6nF8k3Z7g,2DTkzhmMpv5fIPKheePClA,xp3qKjQ9pAtkH6nF8k3Z7g,Hqz96v1ymucUKNzIWfEKXw,Hqz96v1ymucUKNzIWfEKXw,Hqz96v1ymucUKNzIWfEKXw
movielens,gpt-oss,The Matrix,IN,,,,,,,,,,1,True,True,True,True,True,True,True,2571,6365,6934,132490,157721,172255,179489,181103
yelp,gpt-oss,The Fountain,OUT,,,,,,,,,,1,True,False,False,False,True,False,False,jQBPO3rYkNwIaOdQS5ktgQ,eFwFIh7olBwMHQ6ByoRH-Q,mgGI5eD49ga0N7iolZ_fIw,B-NqcrIhvzCIkLCCpmhdvg,SsRsSSifdOtKAQDGST_m_g,KAz4agBrfsash3EsfqVxEg,KAz4agBrfsash3EsfqVxEg,evM71YsOcaH9NVNWbJqMxg
yelp,claude,Mellow Mushroom,IN,,,,,,,,,,1,True,True,True,True,True,True,True,Oo2QSeBVkx8HJQm8SIL1Fg,wHiPhPVuGnngEieDBMG00g,Oo2QSeBVkx8HJQm8SIL1Fg,Oo2QSeBVkx8HJQm8SIL1Fg,wLV_IZfy6nrNbplZ5sHJKQ,Ck4xeKZMiqZsaCcB-78yEA,MVKoCY1JwngXmyYxc7oxFA,TLHXESckY-p2Zi5byT-4LQ
movielens,claude,Princess Mononoke (Mononoke-hime) (1997),IN,,,,,,,,,,1,True,True,True,True,True,True,True,3000,262,313,580,917,1197,4380,4700
amazon,claude,Klutz Friendship Bracelets Book Kit,IN,"Klutz Friendship Bracelets Craft Kit Multicolored, 10.5"" Length x 0.69"" Width x 9"" Height",Klutz Personalized Friendship Bracelets Craft Kit,"Klutz Friendship Bracelets Craft Kit Multicolored, 10.5"" Length x 0.69"" Width x 9"" Height",Klutz Clay Charm Bracelets: Super Sweet Craft Kit,Klutz Clay Charm Bracelets: Trendy Treats Craft Kit,Klutz - The Klutz Book of Magic - 8+,Klutz String Art Book Kit,Klutz Book of Paper Airplanes Craft Kit & Lego Gadgets (),Klutz Twisted Critters: The Pipe Cleaner Book,2,True,True,True,True,True,False,False,0545858569,B08TCWPBKR,1338646303,1338646273,B000JGL9NC,0545703212,B08TD16P7T,0545346231
yelp,llama,Pho Saigon,IN,,,,,,,,,,3,True,True,True,True,True,True,True,oVXNeZXl3PejvE66V50iag,eY8exh1aLVVhW6z_M0u_Eg,IjMs1n7UelI7ev_5IDl5kA,IjMs1n7UelI7ev_5IDl5kA,eY8exh1aLVVhW6z_M0u_Eg,eY8exh1aLVVhW6z_M0u_Eg,p9Dd6AjOawHGGzcUntYr-A,c8kCy8ZwXaOhOgPbFLa4ow
yelp,llama,Los Agaves Restaurant,IN,,,,,,,,,,1,True,True,True,True,True,False,False,yPSejq3_erxo9zdVYTBnZA,yPSejq3_erxo9zdVYTBnZA,yPSejq3_erxo9zdVYTBnZA,Q_fusIQX931EFF4lNX7G8A,yPSejq3_erxo9zdVYTBnZA,LgiAzhOqrzl95NNRLziH2A,bHqxzEXdvY4M6wdnkYzpVA,vvYlV2zBbBT5o-EHhzuN_Q
amazon,claude,Bakugan Battle Brawlers Starter Set,OUT,,"Bakugan, Battle Brawlers Starter Set with Transforming Creatures, Aquos Pyravian, for Ages 6 & Up","Bakugan, Battle Brawlers Starter Set Transforming Creatures, Haos Howlkor, for Ages 6 and Up","Bakugan, Battle Brawlers Starter Set with Transforming Creatures, Aurelus Nobilious, for Ages 6 & Up, Multicolor","Bakugan, Battle Brawlers Starter Set with Transforming Creatures, Darkus Hydranoid, for Ages 6 & Up","Bakugan, Battle Brawlers Starter Set Transforming Creatures, Aquos Garganoid, for Ages 6 and Up","Bakugan, Battle Brawlers Starter Set Transforming Creatures, Pyrus Hydorous, for Ages 6 and Up","Bakugan, Deluxe Battle Brawlers Card Collection with Jumbo Foil Garganoid Ultra Card, for Ages 6 and Up, Multicolor","Bakugan, Deluxe Battle Brawlers Card Collection with Jumbo Foil Hydorous Ultra Card, for Ages 6 and Up",0,False,False,False,True,True,False,False,B07J37Z1HB,B07GT9TD18,B07J37Z1H8,B07J2XHB4Q,B07GTHTF9T,B07GT5ZNFV,B07KPRY1XY,B07GT5ZSZ4
yelp,claude,Mise en Place,IN,,,,,,,,,,4,True,True,True,True,True,True,True,ntewVyhJ6C8H0U_KkduioQ,3ulQuG_qOiN8kT3_nww0-A,mtk2B0BIAD96LTJH5eUejQ,TIp9kHzG9bbjwI4bIHffUg,c16lBET8GKbGZY6Aegm_2Q,sV2veMdYGpoLteISw6kjzg,_t_UwNkwAinJSljDDYvnoQ,kgZjJTGNc6WjKVBiSqNUoA
movielens,gpt-oss,Clueless,IN,,,,,,,,,,1,True,True,True,True,True,True,True,39,178927,172009,201795,141747,146325,150312,167638
amazon,llama,Imaginext DC Super Friends Batcave,IN,DC Super Friends Imaginext DC Super Friends Batcave (Frustration-Free Packaging),"Fisher-Price Imaginext DC Super Friends, Battle Batcave",DC Super Friends Imaginext DC Super Friends Batcave (Frustration-Free Packaging),"DC Super Friends Fisher-Price Imaginext, Transforming Batcave","Fisher-Price Imaginext DC Super Friends Batman Playset Super Surround Batcave with Lights Sounds & Phrases for Ages 3+ Years, 33 x 42 Inches","DC Super Friends Imaginext DC Super Friends Batman Figure and Bat-Tech Batcave Playset with Lights & Sounds for Preschool Pretend Play, 6 Play Pieces",Imaginext DC Super Friends Batman Toy Bat-Tech Batcave Playset with Lights & Sounds for Preschool Pretend Play Ages 3+ Years,"Fisher-Price Imaginext DC Super Friends, Batcave (Amazon Exclusive)",Imaginext DC Super Friends Batman Playset Transforming Batcave with Batman & the Joker Figures for Preschool Kids Ages 3+ Years,2,True,True,True,True,True,False,False,B073GW2LZQ,B005C3HOR2,B018EI6Q4I,B083W6CKN6,B0C3G54Z1Q,B08V7PRMNX,B004OS8J98,B082X1NY67
yelp,gpt-oss,SkinMed Dermatology,OUT,,,,,,,,,,0,False,False,False,False,False,False,False,nnHHPz4SKmDGxod16WxDxQ,qAltKw1eFbee8rylmXuX9w,UXqjaZXdAMGOV4ynzPC8fw,0ox9FeKEPSvotx7BhKVxxw,yFhtx9Q7h9YDWo4rfYNhVQ,VpxOVLIDLDYfMKRjPhj9AA,jPBfwWdCdkObSJHMPm_xJw,E_OHlYv_Fl5KfB3l8ViQlA
amazon,llama,Star Wars Destiny Booster Pack,IN,"Fantasy Flight Games Star Wars Destiny: Awakenings Booster Pack, 5 Cards and 1 Premium Die, 6 Count (Pack of 1)",FFG Star Wars Destiny: Across The Galaxy Booster Pack Display (36),Star Wars Destiny TCG: Spirit Of Rebellion [Dice & Cards] - Booster Box (36 Booster Packs),"Fantasy Flight Games Star Wars Destiny: Awakenings Booster Pack, 5 Cards and 1 Premium Die, 6 Count (Pack of 1)","FFG SWD07 Star Wars Destiny: Empire at War Booster Display, Multicolor",Star Wars Destiny: Spark of Hope Booster Display,Fantasy Flight Games Star Wars Destiny: Way of the Force Booster Pack Display (36),Star Wars Destiny: Legacies Booster Display,BUNDLE: Star Wars Destiny: Empire at War Booster Packs (6 Booster Pack Lot),0,False,True,True,True,True,False,False,B07FWVXBNM,B07BSZ897N,B01L0LUE3K,B07MB5VJ6B,B07R12BXTD,B07C3B7SYQ,B076V3G5BH,B075PC2LDF
amazon,llama,Magic The Gathering Modern Horizons Booster Box,IN,"Magic: The Gathering Modern Horizons Booster Box | 36 Booster Packs | Factory Sealed, One Size","Magic The Gathering Modern Horizons 2 Draft Booster Box, 36 Packs","Magic The Gathering Modern Horizons 2 Set Booster Pack, Multicolor",Magice the Gathering MTG Modern Horizons 3 Booster Packs,Magic The Gathering Modern Horizons 2 Collector Booster Box | 12 Packs (180 Magic Cards),"Magic: The Gathering Modern Horizons Booster Box | 36 Booster Packs | Factory Sealed, One Size",Magic: The Gathering Modern Horizons 2 Draft Booster Box | 36 Packs (540 Magic Cards),Magic The Gathering Modern Horizons 2 Collector Booster Pack | 15 Magic Cards,Magic The Gathering Modern Horizons 2 Set Booster Box | 30 Packs (360 Magic Cards),5,True,True,True,False,True,False,False,B093WLY1WS,B093WKN2QK,B07T3GY7PN,B092N6TB6X,B07SZG8JFJ,B092N73PYP,B093QNYK76,B092N73PXS
movielens,mistral,Oldboy (2003),OUT,,,,,,,,,,0,False,False,False,False,True,True,False,107314,160181,141660,5393,74284,86000,90809,131574
amazon,gpt-oss,Nerf Rival Elite Disruptor Blaster,IN,NERF N-Strike Elite Disruptor,"NERF Strongarm N-Strike Elite Toy Blaster with Rotating Barrel, Slam Fire, and 6 Official Elite Darts, Orange & Elite Disruptor Dynamic Green Dart Blaster, 6-Dart Rotating Drum","NERF Elite Digital Target Blue/Orange & Disruptor Elite Blaster - 6-Dart Rotating Drum, Slam Fire, Includes 6 Official Elite Darts - for Kids, Teens, Adults (Amazon Exclusive)",NERF Elite Disruptor Blaster Reflex Blue - Slam Fire (Amazon Exclusive),"NERF Disruptor Elite Blaster - 6-Dart Rotating Drum, Slam Fire, Includes 6 Official Elite Darts - for Kids, Teens, Adults (Amazon Exclusive)","NERF Elite 2.0 Commander RC-6 Blaster, 12 Elite Darts, 6-Dart Rotating Drum & Disruptor Elite Blaster - 6-Dart Rotating Drum, Slam Fire, Includes 6 Official Elite Darts - for Kids, Teens, Adults",NERF N-Strike Elite Disruptor 6 Dart Rapid Fire NERF Gun Blaster Shoots 90 ft! (Twin Pack),"Electric Scoring Auto Reset Shooting Digital Target for Nerf Guns Blaster Elite/Mega/Rival Series, Ideal Gift Toy for Kids, Teens, Boys & Girls",SWEE Electric Scoring Auto Reset Shooting Digital Target for Nerf Guns Blaster Elite/Mega/Rival Series,4,True,False,True,False,True,False,False,B0BPNPXCJT,B082QLCZWB,B09RBD9L39,B09NXVL2P2,B0BN5YYMSR,B074ML8Q2C,B07Z91HWLW,B07LDTM5RD
amazon,llama,Transformers Masterpiece Movie Series MPM-8 Bumblebee,IN,"Transformers Masterpiece 12"" Action Figure Movie Series - Megatron Mpm-8",Takara Tomy Transformers Masterpiece Movie Series MPM-7 Bumblebee Japan Import,Transformers Official Hasbro-Takara Tomy Collaboration Masterpiece Movie Series Bumblebee MPM-7 Toy,"TRANSFORMERS Movie Masterpiece Series MPM-11 Autobot Ratchet Collector Figure from Film 1 – Ages 8 and Up, 19-cm","Transformers Masterpiece Movie Series Barricade Mpm-5 [Official Hasbro-Takara Tomy], Collector Figure, 6"" Scale (Amazon Exclusive)","Transformers Movie Masterpiece Series MPM-10 Starscream Collector Figure from Film 1 – Ages 8 and Up, 28-cm Multicolor E7299E48",Takaratomy MPM-12 Optimus Prime Transformers Masterpiece Movie,"Transformers Masterpiece 12"" Action Figure Movie Series - Megatron Mpm-8","Hasbro Transformers Masterpiece Movie Series Mpm-9 Jazz, Multicolor",0,False,True,True,True,True,False,False,B07HPKCCC1,B07D4WNG61,B0824RC2B2,B07CLFZ5FB,B0824RBTJR,B094DVRRNZ,B07NKGRBJC,B07WD94XFX
movielens,llama,Let the Right One In (2008),IN,,,,,,,,,,1,True,True,True,True,True,False,True,61240,148785,1231,2828,3424,4131,4236,5226
