catalog,model,generated_title,confidence,surface_score,llm_in_catalog,llm_match_title,llm_match_id,llm_match_quartile
movielens,gpt-oss,Toy Story (1995),85.0,100.0,True,,1,
movielens,llama,Reservoir Dogs,79.0,100.0,True,,1089,
movielens,mistral,Blade II,88.0,100.0,True,,5254,
movielens,mistral,Hunt for the Wilderpeople,85.0,100.0,True,,152970,
movielens,mistral,The Rock (1996),92.0,100.0,True,,733,
movielens,mistral,The Princess Bride,84.0,100.0,True,,1197,
movielens,gpt-oss,Inception,88.0,100.0,True,,79132,
movielens,mistral,Spaceballs,83.0,100.0,True,,3033,
movielens,mistral,Shadow of the Vampire (2000),81.0,100.0,True,,4036,
movielens,claude,Ace Ventura: Pet Detective (1994),68.0,100.0,True,,344,
movielens,gpt-oss,The Witch,90.0,100.0,True,,140267,
movielens,gpt-oss,The Usual Suspects (1995),95.0,100.0,True,,50,
movielens,gpt-oss,Akira,78.0,100.0,True,,1274,
movielens,mistral,American Psycho,83.0,100.0,True,,3535,
movielens,mistral,"Italian Job, The (2003)",85.0,100.0,True,,6378,
movielens,mistral,Children of Men,87.0,100.0,True,,48774,
movielens,llama,Saving Private Ryan,73.0,100.0,True,,2028,
movielens,llama,Leaving Las Vegas (1995),81.0,100.0,True,,25,
movielens,llama,The Princess Bride,79.0,100.0,True,,1197,
movielens,llama,Fight Club,75.0,100.0,True,,2959,
movielens,claude,Naked Gun 33⅓: The Final Insult (1994),68.0,92.06349206349206,True,,370,
movielens,claude,Silver Linings Playbook (2012),73.0,100.0,True,,97921,
movielens,gpt-oss,The Lion King,92.0,100.0,True,,364,
movielens,gpt-oss,The Matrix,90.0,100.0,True,,2571,
movielens,mistral,Inglourious Basterds,92.0,100.0,True,,68157,
movielens,mistral,The Witch (2015),91.0,100.0,True,,140267,
movielens,mistral,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",90.0,100.0,True,,41566,
movielens,llama,Pulp Fiction,81.0,100.0,True,,296,
movielens,claude,The Fugitive (1993),71.0,100.0,True,,457,
movielens,claude,Into the Wild (2007),71.0,100.0,True,,55247,
movielens,mistral,Insomnia (2002),84.0,100.0,True,,5388,
movielens,gpt-oss,Inception,92.0,100.0,True,,79132,
movielens,gpt-oss,The Matrix,80.0,100.0,True,,2571,
movielens,llama,Eternal Sunshine of the Spotless Mind,83.0,100.0,True,,7361,
movielens,mistral,Let The Right One In (2008),88.0,100.0,True,,61240,
movielens,llama,Ocean's Eleven,76.0,100.0,True,,4963,
movielens,gpt-oss,Superbad,77.0,100.0,True,,54503,
movielens,claude,Reservoir Dogs (1992),75.0,100.0,True,,1089,
movielens,llama,Absolute Power,70.0,100.0,True,,1459,
movielens,llama,Meet the Parents,82.0,100.0,True,,3948,
movielens,claude,Ghostbusters (1984),88.0,100.0,True,,2716,
movielens,llama,Interstellar,87.0,100.0,True,,109487,
movielens,claude,Absolute Power (1997),71.0,100.0,True,,1459,
movielens,llama,Casino,77.0,100.0,True,,16,
movielens,gpt-oss,Ghostbusters (1984),89.0,100.0,True,,2716,
movielens,mistral,"It's a Mad, Mad, Mad, Mad World (1963)",88.0,100.0,True,,4799,
movielens,gpt-oss,The Fifth Element (1997),83.0,100.0,True,,1527,
movielens,gpt-oss,Stardust,85.0,100.0,True,,54259,
movielens,llama,Big Fish,76.0,100.0,True,,7147,
movielens,mistral,Heat (1995),95.0,100.0,True,,6,
movielens,gpt-oss,Shrek,75.0,100.0,True,,4306,
movielens,claude,Eraser (1996),75.0,100.0,True,,786,
movielens,llama,The Princess Bride,80.0,100.0,True,,1197,
movielens,gpt-oss,Memento,68.0,100.0,True,,4226,
movielens,mistral,The Pianist,88.0,100.0,True,,5995,
movielens,claude,"Insider, The (1999)",77.0,100.0,True,,3006,
movielens,mistral,American Beauty (1999),86.0,100.0,True,,2858,
movielens,gpt-oss,Jumanji (1995),65.0,100.0,True,,2,
movielens,llama,Scott Pilgrim vs. the World,80.0,100.0,True,,79702,
movielens,claude,12 Angry Men (1957),82.0,100.0,True,,1203,
movielens,claude,Grumpy Old Men (1993),72.0,100.0,True,,3450,
movielens,llama,The Shawshank Redemption,82.0,100.0,True,,318,
movielens,mistral,Isle of Dogs,92.0,100.0,True,,183897,
movielens,claude,Shrek 2 (2004),80.0,100.0,True,,8360,
movielens,gpt-oss,The Dark Knight,78.0,100.0,True,,58559,
movielens,gpt-oss,Inception (2010),83.0,100.0,True,,79132,
movielens,gpt-oss,Good Will Hunting (1997),88.0,100.0,True,,1704,
movielens,mistral,The Dead Don't Die (2019),81.0,100.0,True,,200938,
movielens,mistral,The Prestige (2006),83.0,100.0,True,,48780,
movielens,mistral,Fight Club (1999),89.0,100.0,True,,2959,
movielens,mistral,Goodfellas,88.0,100.0,True,,1213,
movielens,llama,Indiana Jones and the Raiders of the Lost Ark,73.0,100.0,True,,1198,
movielens,mistral,Underworld: Awakening,95.0,100.0,True,,91974,
movielens,gpt-oss,Eternal Sunshine of the Spotless Mind (2004),87.0,100.0,True,,7361,
movielens,mistral,Trainspotting (1996),89.0,100.0,True,,778,
movielens,gpt-oss,The Nightmare Before Christmas,80.0,100.0,True,,551,
movielens,llama,Zoolander,85.0,100.0,True,,4816,
movielens,mistral,Star Wars: Episode VIII - The Last Jedi,95.0,82.66666666666667,True,,179819,
movielens,llama,Almost Famous,82.0,100.0,True,,3897,
movielens,mistral,Harry Potter and the Deathly Hallows: Part 2,84.0,100.0,True,,88125,
movielens,claude,Driven (2001),65.0,100.0,True,,4265,
movielens,mistral,Interview with the Vampire (1994),87.0,95.0,True,,253,
movielens,mistral,The Truman Show,82.0,100.0,True,,1682,
movielens,llama,Waterworld,76.0,100.0,True,,208,
movielens,llama,Coraline,79.0,100.0,True,,66097,
movielens,mistral,Catch Me If You Can,81.0,100.0,True,,5989,
movielens,llama,Arrival,87.0,100.0,True,,164179,
movielens,mistral,Eraser,81.0,100.0,True,,786,
movielens,llama,Let the Right One In (2008),76.0,100.0,True,,61240,
movielens,llama,Adaptation (2002),91.0,100.0,True,,5902,
movielens,llama,True Lies,82.0,100.0,True,,380,
movielens,claude,Jerry Maguire (1996),88.0,100.0,True,,1393,
movielens,claude,The Long Kiss Goodnight (1996),67.0,100.0,True,,1047,
movielens,llama,"O Brother, Where Art Thou?",81.0,100.0,True,,4027,
movielens,claude,"Royal Tenenbaums, The (2001)",87.0,100.0,True,,4979,
movielens,claude,Heat (1995),80.0,100.0,True,,6,
movielens,llama,The Big Lebowski,79.0,100.0,True,,1732,
movielens,llama,The Terminator,76.0,100.0,True,,1240,
movielens,llama,Blade Runner,78.0,100.0,True,,541,
movielens,mistral,Crimson Tide,85.0,100.0,True,,161,
movielens,mistral,"Big Lebowski, The",89.0,100.0,True,,1732,
movielens,mistral,The Green Mile,84.0,100.0,True,,3147,
movielens,llama,Notting Hill,79.0,100.0,True,,2671,
movielens,claude,Pulp Fiction (1994),69.0,100.0,True,,296,
movielens,mistral,"Wes Anderson's ""Bottle Rocket""",86.0,65.3061224489796,True,,101,
movielens,claude,Clear and Present Danger (1994),60.0,100.0,True,,349,
movielens,llama,Chocolat,78.0,100.0,True,,4014,
movielens,claude,Schindler's List (1993),74.0,100.0,True,,527,
movielens,claude,Rain Man (1988),83.0,100.0,True,,1961,
movielens,llama,Ready Player One,80.0,100.0,True,,140956,
movielens,gpt-oss,2001: A Space Odyssey (1968),92.0,100.0,True,,924,
movielens,llama,Forrest Gump,82.0,100.0,True,,356,
movielens,gpt-oss,Hacksaw Ridge,70.0,100.0,True,,163645,
movielens,mistral,The Dark Knight,94.0,100.0,True,,58559,
movielens,llama,The Big Lebowski (1998),82.0,100.0,True,,1732,
movielens,mistral,Moon,79.0,100.0,True,,68237,
movielens,mistral,The Dark Knight,81.0,100.0,True,,58559,
movielens,gpt-oss,Eternal Sunshine of the Spotless Mind,86.0,100.0,True,,7361,
movielens,llama,Dead Poets Society,85.0,100.0,True,,1246,
movielens,llama,10 Things I Hate About You,78.0,100.0,True,,2572,
movielens,llama,The Bourne Identity,81.0,100.0,True,,5418,
movielens,gpt-oss,Edge of Tomorrow (2014),86.0,100.0,True,,111759,
movielens,mistral,Traffic (2000),84.0,100.0,True,,4034,
movielens,claude,Die Hard (1988),82.0,100.0,True,,1036,
movielens,gpt-oss,Eternal Sunshine of the Spotless Mind,84.0,100.0,True,,7361,
movielens,claude,"Rock, The (1996)",77.0,100.0,True,,733,
movielens,llama,"Big Lebowski, The",87.0,100.0,True,,1732,
movielens,mistral,Doctor Sleep (2019),86.0,100.0,True,,207405,
movielens,claude,Catch Me If You Can (2002),70.0,100.0,True,,5989,
movielens,claude,WALL-E (2008),85.0,100.0,True,,60069,
movielens,llama,High Fidelity,73.0,100.0,True,,3481,
movielens,llama,Mean Girls,77.0,100.0,True,,7451,
movielens,llama,Pocahontas,85.0,100.0,True,,48,
movielens,claude,The Truman Show (1998),69.0,100.0,True,,1682,
movielens,claude,How to Train Your Dragon (2010),79.0,100.0,True,,76093,
movielens,claude,Gladiator (2000),77.0,100.0,True,,3578,
movielens,llama,Bridget Jones's Diary,68.0,100.0,True,,4246,
movielens,mistral,Apollo 13,86.0,100.0,True,,150,
movielens,gpt-oss,Oldboy,78.0,100.0,False,,,
movielens,mistral,The Departed,82.0,100.0,True,,48516,
movielens,claude,Toy Story (1995),80.0,100.0,True,,1,
movielens,mistral,Wedding Crashers,83.0,100.0,True,,34162,
movielens,llama,As Good as It Gets,79.0,100.0,True,,1784,
movielens,claude,Taken 2 (2012),85.0,100.0,True,,96861,
movielens,llama,Galaxy Quest,87.0,100.0,True,,3175,
movielens,claude,Roxanne (1987),81.0,100.0,True,,8623,
movielens,gpt-oss,The Goonies (1985),90.0,100.0,True,,2005,
movielens,llama,Natural Born Killers,76.0,100.0,True,,288,
movielens,llama,Reservoir Dogs,82.0,100.0,True,,1089,
movielens,gpt-oss,The Truman Show (1998),80.0,100.0,True,,1682,
movielens,llama,The Apple Dumpling Gang,85.0,100.0,True,,1007,
movielens,llama,Se7en,87.0,100.0,True,,47,
movielens,gpt-oss,The Prestige,84.0,100.0,True,,48780,
movielens,llama,The Nutty Professor (1996),83.0,100.0,True,,788,
movielens,gpt-oss,Men in Black,90.0,100.0,True,,1580,
movielens,mistral,Goodfellas (1990),92.0,100.0,True,,1213,
movielens,claude,"Bourne Ultimatum, The (2007)",80.0,100.0,True,,54286,
movielens,mistral,Fargo,87.0,100.0,True,,608,
movielens,mistral,Love Actually,92.0,100.0,True,,6942,
movielens,mistral,Before Sunrise (1995),82.0,100.0,True,,215,
movielens,claude,Goodfellas (1990),84.0,100.0,True,,1213,
movielens,claude,Die Hard (1988),79.0,100.0,True,,1036,
movielens,mistral,The Sting,83.0,100.0,True,,1234,
movielens,claude,L.A. Confidential (1997),82.0,100.0,True,,1617,
movielens,mistral,Boogie Nights (1997),82.0,100.0,True,,1673,
movielens,gpt-oss,The Usual Suspects (1995),94.0,100.0,True,,50,
movielens,mistral,The Big Lebowski (1998),85.0,100.0,True,,1732,
movielens,mistral,The Silence of the Lambs,92.0,100.0,True,,593,
movielens,gpt-oss,John Wick,95.0,100.0,True,,115149,
movielens,gpt-oss,Spider-Man: Into the Spider-Verse,87.0,100.0,True,,195159,
movielens,llama,Born on the Fourth of July,70.0,100.0,True,,4008,
movielens,gpt-oss,La La Land,88.0,100.0,True,,164909,
movielens,mistral,The Game,80.0,100.0,True,,1625,
movielens,llama,Braveheart,74.0,100.0,True,,110,
movielens,mistral,Edge of Tomorrow,83.0,100.0,True,,111759,
movielens,claude,The Lord of the Rings: The Fellowship of the Ring (2001),84.0,100.0,True,,4993,
movielens,mistral,There Will Be Blood,85.0,100.0,True,,56782,
movielens,llama,12 Angry Men,80.0,100.0,True,,1203,
movielens,claude,Catch Me If You Can (2002),69.0,100.0,True,,5989,
movielens,gpt-oss,The Iron Giant,75.0,100.0,True,,2761,
movielens,claude,Catch Me If You Can (2002),71.0,100.0,True,,5989,
movielens,claude,Crimson Tide (1995),69.0,100.0,True,,161,
movielens,gpt-oss,Pulp Fiction (1994),75.0,100.0,True,,296,
movielens,llama,The Game,78.0,100.0,True,,1625,
movielens,llama,The Painted Veil,78.0,100.0,True,,49772,
movielens,mistral,The Mummy (1999),87.0,100.0,True,,2617,
movielens,gpt-oss,The Usual Suspects (1995),84.0,100.0,True,,50,
movielens,gpt-oss,Jurassic Park,85.0,100.0,True,,480,
movielens,gpt-oss,Captain America: The Winter Soldier,78.0,100.0,True,,110102,
movielens,claude,Pulp Fiction (1994),72.0,100.0,True,,296,
movielens,mistral,13 Going on 30,82.0,100.0,True,,7444,
movielens,llama,Ghostbusters,78.0,100.0,True,,2716,
movielens,gpt-oss,"The Good, the Bad and the Ugly",92.0,100.0,True,,1201,
movielens,llama,The Book Thief,87.0,100.0,True,,106441,
movielens,llama,The Rock,77.0,100.0,True,,733,
movielens,mistral,The Royal Tenenbaums,83.0,100.0,True,,4979,
movielens,claude,Blood Simple (1984),75.0,100.0,True,,3683,
movielens,mistral,Blade Runner 2049,88.0,100.0,True,,176371,
movielens,claude,Good Will Hunting (1997),82.0,100.0,True,,1704,
movielens,gpt-oss,Casablanca (1942),95.0,100.0,True,,912,
movielens,gpt-oss,Memento,85.0,100.0,True,,4226,
movielens,mistral,Inglourious Basterds,87.0,100.0,True,,68157,
movielens,llama,Casino Royale,78.0,100.0,True,,49272,
movielens,llama,Platoon,74.0,100.0,True,,1090,
movielens,llama,E.T. the Extra-Terrestrial,79.0,100.0,True,,1097,
movielens,gpt-oss,Life Is Beautiful,84.0,100.0,True,,2324,
movielens,llama,Fargo,85.0,100.0,True,,608,
movielens,claude,The Imitation Game (2014),88.0,100.0,True,,116797,
movielens,llama,Notting Hill,80.0,100.0,True,,2671,
movielens,claude,Mulholland Drive (2001),70.0,100.0,True,,4848,
movielens,gpt-oss,"Legally Blonde 2: Red, White & Blonde",73.0,100.0,True,,6535,
movielens,mistral,The Guard,90.0,100.0,True,,88235,
movielens,llama,Dead Poets Society,82.0,100.0,True,,1246,
movielens,gpt-oss,The Rock,88.0,100.0,True,,733,
movielens,llama,Philadelphia,85.0,100.0,True,,508,
movielens,mistral,X2: X-Men United,82.0,100.0,True,,6333,
movielens,llama,Mad Max: Fury Road,81.0,100.0,True,,122882,
movielens,claude,Inglourious Basterds (2009),74.0,100.0,True,,68157,
movielens,gpt-oss,Hacksaw Ridge,84.0,100.0,True,,163645,
movielens,mistral,Ocean's Eleven (2001),90.0,100.0,True,,4963,
movielens,llama,The Computer Wore Tennis Shoes,77.0,100.0,True,,2040,
movielens,gpt-oss,The Princess Bride,75.0,100.0,True,,1197,
movielens,gpt-oss,Terminator 2: Judgment Day (1991),85.0,100.0,True,,589,
movielens,gpt-oss,Star Wars: Episode VI - Return of the Jedi (1983),95.0,100.0,True,,1210,
movielens,mistral,Eternal Sunshine of the Spotless Mind,82.0,100.0,True,,7361,
movielens,gpt-oss,Dune,83.0,100.0,True,,2021,
movielens,mistral,Fight Club,92.0,100.0,True,,2959,
movielens,mistral,Notting Hill,87.0,100.0,True,,2671,
movielens,mistral,Galaxy Quest (1999),82.0,100.0,True,,3175,
movielens,llama,RoboCop,79.0,100.0,True,,2985,
movielens,claude,Batman Forever (1995),71.0,100.0,True,,153,
movielens,gpt-oss,The Big Lebowski,88.0,100.0,True,,1732,
movielens,gpt-oss,The Shawshank Redemption,77.0,100.0,True,,318,
movielens,mistral,Rushmore,90.0,100.0,True,,2395,
movielens,claude,American Beauty (1999),68.0,100.0,True,,2858,
movielens,gpt-oss,The Green Mile,78.0,100.0,True,,3147,
movielens,llama,Iron Man,76.0,100.0,True,,59315,
movielens,gpt-oss,Pulp Fiction,92.0,100.0,True,,296,
movielens,llama,Con Air,87.0,100.0,True,,1552,
movielens,mistral,Oldboy (2003),88.0,0.0,False,,,
movielens,claude,Constantine (2005),88.0,100.0,True,,31696,
movielens,llama,Iron Man,76.0,100.0,True,,59315,
movielens,gpt-oss,Men in Black (1997),85.0,100.0,True,,1580,
movielens,claude,Se7en (1995),75.0,100.0,True,,47,
movielens,gpt-oss,The Lobster,85.0,100.0,True,,133771,
movielens,llama,Reservoir Dogs,80.0,100.0,True,,1089,
movielens,claude,Children of Men (2006),83.0,100.0,True,,48774,
movielens,mistral,Gone Baby Gone,86.0,100.0,True,,55290,
movielens,llama,The Dark Knight,85.0,100.0,True,,58559,
movielens,mistral,The Irishman (2019),85.0,100.0,True,,206857,
movielens,claude,Guardians of the Galaxy (2014),85.0,100.0,True,,112852,
movielens,claude,Doctor Strange (2016),85.0,100.0,True,,122922,
movielens,claude,Hobbs & Shaw (2019),72.0,0.0,True,,203519,
movielens,llama,Sleepless in Seattle,83.0,100.0,True,,539,
movielens,gpt-oss,A Quiet Place,80.0,100.0,True,,185029,
movielens,mistral,The Ice Storm (1997),92.0,100.0,True,,1635,
movielens,llama,Se7en,66.0,100.0,True,,47,
movielens,mistral,Happy Gilmore (1996),85.0,100.0,True,,104,
movielens,llama,The Dark Crystal,83.0,100.0,True,,2140,
movielens,llama,Trainwreck,76.0,100.0,True,,134393,
movielens,mistral,Blade Runner 2049,92.0,100.0,True,,176371,
movielens,mistral,Inception,89.0,100.0,True,,79132,
movielens,mistral,The Third Man,86.0,100.0,True,,1212,
movielens,mistral,The Shining (1980),84.0,100.0,True,,1258,
movielens,llama,Get Shorty,73.0,100.0,True,,21,
movielens,gpt-oss,The Dark Knight,84.0,100.0,True,,58559,
movielens,gpt-oss,The Lord of the Rings: The Fellowship of the Ring,95.0,100.0,True,,4993,
movielens,gpt-oss,Pan's Labyrinth,78.0,100.0,True,,48394,
movielens,mistral,Society (1989),84.0,100.0,True,,5606,
movielens,claude,The Revenant (2015),68.0,100.0,True,,139385,
movielens,llama,American Beauty,82.0,100.0,True,,2858,
movielens,llama,The Matrix,83.0,100.0,True,,2571,
movielens,gpt-oss,The Birdcage,82.0,100.0,True,,141,
movielens,claude,"Clockwork Orange, A (1971)",76.0,100.0,True,,1206,
movielens,claude,The Shawshank Redemption (already watched) - Schindler's List (1993),77.0,0.0,True,,527,
movielens,mistral,Trainspotting,82.0,100.0,True,,778,
movielens,gpt-oss,Forrest Gump,85.0,100.0,True,,356,
movielens,claude,Signs (2002),81.0,100.0,True,,5502,
movielens,gpt-oss,The Usual Suspects,83.0,100.0,True,,50,
movielens,llama,Jerry Maguire (1996),78.0,100.0,True,,1393,
movielens,mistral,The Thing (1982),95.0,100.0,True,,2288,
movielens,gpt-oss,Toy Story,78.0,100.0,True,,1,
movielens,mistral,The Big Lebowski (1998),81.0,100.0,True,,1732,
movielens,gpt-oss,The Royal Tenenbaums,75.0,100.0,True,,4979,
movielens,gpt-oss,Mad Max: Fury Road,87.0,100.0,True,,122882,
movielens,llama,Sin City,72.0,100.0,True,,32587,
movielens,gpt-oss,The Parent Trap (1998),75.0,100.0,True,,2059,
movielens,gpt-oss,The Grand Budapest Hotel,85.0,100.0,True,,109374,
movielens,llama,Se7en,78.0,100.0,True,,47,
movielens,llama,Apollo 13,85.0,100.0,True,,150,
movielens,mistral,Judge Dredd,87.0,100.0,True,,173,
movielens,mistral,Snatch,85.0,100.0,True,,4011,
movielens,claude,Full Metal Jacket (1987),68.0,100.0,True,,1222,
movielens,llama,Jurassic Park,78.0,100.0,True,,480,
movielens,mistral,Emma (1996),92.0,100.0,True,,838,
movielens,mistral,"Shawshank Redemption, The (1994)",89.0,100.0,True,,318,
movielens,llama,Braveheart,87.0,100.0,True,,110,
movielens,mistral,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",88.0,100.0,True,,3070,
movielens,gpt-oss,The Princess Bride,60.0,100.0,True,,1197,
movielens,llama,Apollo 13,79.0,100.0,True,,150,
movielens,claude,Eastern Promises (2007),75.0,100.0,True,,55118,
movielens,gpt-oss,Arrival (2016),90.0,100.0,True,,164179,
movielens,llama,Se7en,80.0,100.0,True,,47,
movielens,claude,The Matrix (1999),92.0,100.0,True,,2571,
movielens,claude,Avengers: Endgame (2019),92.0,0.0,False,,,
movielens,llama,The Prestige,77.0,100.0,True,,48780,
movielens,claude,The Bourne Identity (2002),65.0,100.0,True,,5418,
movielens,llama,Traffic (2000),78.0,100.0,True,,4034,
movielens,mistral,Apollo 13,81.0,100.0,True,,150,
movielens,llama,Mission: Impossible II,79.0,100.0,True,,3623,
movielens,llama,The Dark Knight,81.0,100.0,True,,58559,
movielens,mistral,Bad Boys,82.0,100.0,True,,145,
yelp,claude,Zahav,67.0,100.0,True,,ctHjyadbDQAtUFfkcAFEHw,
yelp,claude,Han Dynasty,72.0,100.0,True,,MMRRS6YhVRx_iN5-JhMRYg,
yelp,mistral,The Parish,83.0,100.0,True,,WSx9-iYYyST_umny9sJBFg,
yelp,gpt-oss,Tampa Bay History Center,70.0,100.0,True,,bWgi0dQSRbTa44YZS6YtyA,
yelp,llama,Bud & Marilyn's,76.0,100.0,True,,pXRrRf8fDv6yU3xp1E25hA,
yelp,gpt-oss,Armature Works,84.0,100.0,True,,_78Lam9Jd0W6ZmnHTvdjMg,
yelp,claude,Han Dynasty,70.0,100.0,True,,MMRRS6YhVRx_iN5-JhMRYg,
yelp,claude,Yummy Pho,70.0,100.0,True,,1MbwLxXrQk7H1FOidg8hoA,
yelp,mistral,Campo Azul,70.0,100.0,True,,-6osFx4NgFRHJ5NXqpHV6g,
yelp,claude,Natural Cafe,56.0,100.0,True,,fAiPD2OIEm9wtS7uJqzu5Q,
yelp,mistral,Nothing To It! Culinary Center,73.0,100.0,True,,gm4cW6bfnr33jOnh7V95GQ,
yelp,mistral,The Coffee Bean & Tea Leaf,87.0,100.0,True,,6afesz8yZhjOgijkWl4jig,
yelp,mistral,Kid Shelleen's,74.0,64.28571428571428,True,,BHTpjNMdeja_cg9pRnRBOA,
yelp,mistral,Heritage,70.0,100.0,True,,5AGVyIa1_XVUqXGbQXRmiQ,
