catalog,generated_title,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,same_item,cand_1_id,cand_2_id,cand_3_id,cand_4_id,cand_5_id,cand_6_id,cand_7_id,cand_8_id
amazon,Schleich Horse Farm Playset with Figures and Accessories,"Schleich Farm World, Farm Playset Gifts for Kids, Farm World Starter Playset for Toddlers and Kids with Cat, Horse, Puppy, and Cow 4-Piece Set, Ages 3+","Schleich Farm World 7-Piece Rodeo Toy Playset for Kids, Barrel Racing Fun with Cowgirl and Horse Figurine","Schleich Farm World, Farm Toys for Girls and Boys Ages 3-8, 16-Piece Playset, Veterinarian Visit to the Horse Stall","Schleich Farm World Pony Agility Training 41-piece Horse Playset for Kids Ages 3-8 , Brown",Schleich Farm with Animals and Accessories Playset,The Grinch Who Stole Christmas Playset with Character Figures and Accessories,Sonic Play Set Featuring Random Sonic Figures and Accessories,Schleich Portable Barn with Accessories,5,B0B16YD1J9,B0CBDN2VSQ,B07B46H2R8,B099Y47G53,B01C6WLXZA,B07KDD1PGC,B08KSVTN6S,B00KYSZP2G
amazon,Funko Pop! Keychain: Spider-Man – Collectible Mini Figure,"Funko Pop Keychain: Animated Spider-Man Movie - Spider-Man Collectible Figure, Multicolor","Funko Pop Keychain: Animated Spider-Man Movie - Miles Morales Spider-Man Collectible Figure, Multicolor","Funko Pop! Keychain: Marvel - Spider-Man: No Way Home, Friendly Neighborhood Spider-Man",Funko Pocket Pop! Keychain: Marvel Spider-Man - Miles Morales (Gamer) Glows in The Dark Exclusive,Funko POP Keychain: Marvel - Spider-Man Action Figure,"Funko POP! Keychain: TV Mr Rogers Collectible Figure, Multicolor",Funko Pop Keychain Black Panther Collectible Figure,"Funko Pop! Keychain: Monsters Inc. - Sulley Collectible Figure, Multicolor",5,B07DFF22F1,B07DFBJRBK,B0B6GBD6HG,B088XWKDX5,B00Z0FG7HA,B0797PJQJN,B0BJYDCSX5,B07D9BZMH6
movielens,Catch Me If You Can (2002),,,,,,,,,1,5989,164314,180505,121300,161115,,,
yelp,Santa Barbara Wine Country,,,,,,,,,1,TvBxBjed-iX6_22SwEYEFQ,ijU7hEUbD1Nq7KKbi4nyeQ,7sOqa_LFDHEtiFzNFZBw4A,V8dZigOlI5fjpRxgOWwY3g,FrxcwylzrO-ZnzxtiyUdDg,uBvHmZ7BMT8JW5kxgimPWg,,
movielens,The Dark Crystal,,,,,,,,,1,2140,168800,41014,59615,117454,92781,172351,
amazon,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Truck Playset,"Play-Doh Kitchen Creations Ultimate Ice Cream Truck Toy Playset, Food Truck Toys for Kids, 27 Accessories, 12 Cans, Preschool Toys for 3 Year Old Girls & Boys and Up, Non-Toxic",Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colours - Exclusive to Amazon - Amazon Exclusive,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colors Toy,Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker Play Food Set with 8 Non-Toxic Colours,Play-Doh Kitchen Creations Swirl 'n Scoop Ice Cream,Play-Doh Kitchen Creations Ice Cream Treats,Play-Doh Kitchen Creations Ice Cream Treats,,1,B0BNP1SB3C,B07DY8X2X6,B0767B4S4F,B079VSJDZQ,B00N3T3Q60,B078B5KBXJ,B078B5KBXJ,
yelp,Melt Bar and Grilled,,,,,,,,,0,0E2JLWX2h-GdZp8sliaKcQ,y-YbEDBLGQ717MUcziLeew,0E2JLWX2h-GdZp8sliaKcQ,0E2JLWX2h-GdZp8sliaKcQ,-nUV-Z7_RdHY1dLsnuo0xQ,NyvwUdpxG_wmTuYmm4P0pA,VoOlwCavQQ_A5My7TC7t2w,dogngyWggT7Qb5ogpLPzPQ
amazon,Redcat Racing Everest-10 1/10 Scale RC Rock Crawler,Redcat Racing Everest GEN7 Pro 1/10 4WD RTR Scale Rock Crawler,RC Metal Aluminum Connect Box W/Main Gear 38T 180009 Upgraded for 1/10 Redcat Racing Everest HSP 4WD Climbing Rock Crawler 94180 Upgrade Parts (Red),"Share Goo RC Aluminum Alloy 180009 Connect Box with 38T Main Gear Compatible with HSP 94180 Redcat Racing Everest 1/10 RC 4WD Climbing Rock Crawler Car,Sliver",Metal Front Bumper for Redcat Racing Everest Gen7 1/10 Scale RTR Rock Crawler,Redcat Racing Everest GEN7 Pro 1/10 4WD RTR Scale Rock Crawler,"Redcat Racing R180-R Rock Crawler Body (1/10 Scale, Red)",Redcat Racing Everest GEN7 Sport 1/10 4WD RTR Scale Rock Crawler,,0,B07645C13T,B0895W4V28,B087DZB4P7,B07TW3JL5S,B07645C13T,B00YBXN7R0,B077PYN8D9,
yelp,Rittenhouse Spa & Club,,,,,,,,,1,Y2Xd0i9Yd6rTDghVBYiDLQ,Qf6Ex-2ZIrNxJb-qVwbvLw,wLzrd4ulKXJN4s_CzZAlgQ,Lw0e3JLpHoxrOzvAoXg3uQ,YuYvesXrRf1PSp37a5IwUw,,,
yelp,The Crafty Thrift & Vintage,,,,,,,,,0,LMd312IyPyPJiV16Sqc_4A,mMXCzZxa-cKz2XPSkvz7wA,LMd312IyPyPJiV16Sqc_4A,LMd312IyPyPJiV16Sqc_4A,x2G7dyn64TUUuspKs-VAqg,C2KhibuDzv3HJvZubkHTJA,tsxo_nwoc058R7oR-J40Hg,doU-Ovq6HibdiNQ1vaDFsA
movielens,Let the Right One In (2008),,,,,,,,,1,61240,148785,1231,2828,180355,6815,161242,139403
amazon,Imaginext DC Super Friends Batcave,"Fisher-Price Imaginext DC Super Friends, Battle Batcave",DC Super Friends Imaginext DC Super Friends Batcave (Frustration-Free Packaging),"DC Super Friends Fisher-Price Imaginext, Transforming Batcave","Fisher-Price Imaginext DC Super Friends Batman Playset Super Surround Batcave with Lights Sounds & Phrases for Ages 3+ Years, 33 x 42 Inches",Fisher-Price Imaginext Super Friends Batcave,Fisher-Price Imaginext DC Super Friends Robo Batcave,Imaginext DC Super Friends Mini Figure Batman,,2,B073GW2LZQ,B005C3HOR2,B018EI6Q4I,B083W6CKN6,B00BQYQY8Q,B01LZHNCPX,B001AQTXL0,
movielens,The Big Lebowski (1998),,,,,,,,,1,1732,54,75,119,8767,5490,34229,
yelp,Clementine's Creamery,,,,,,,,,1,fC03dk7N8XV-RzGh0UJgmA,fC03dk7N8XV-RzGh0UJgmA,YyXjo3Csp8yAPMm6Liflsg,fC03dk7N8XV-RzGh0UJgmA,y2trhz7QALBOLnU_4EwjVg,,,
amazon,Traxxas 2056 High-Torque Waterproof Servo Metal Gear for Stampede Rustler Bandit,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,Traxxas 2056 High-Torque Waterproof Servo,"Traxxas 2075R Digital High Speed Torque Metal Gear Ball Bearing Waterproof Servo, 125 Ounces of Torque at 6V, Blue","Traxxas 2255 Waterproof Metal Gear Aluminum Servo Digital High-Torque 400 Brushless, Red",Traxxas 2075 Digital High-Torque Waterproof Servo,Traxxas 2075 Digital High-Torque Waterproof Servo,1,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B00ERU8ZGK,B07JVJTY4L,B07HXDGC76,B00THD368O,B00THD368O
amazon,Our Generation Sweet Stop Ice Cream Truck for 18-Inch Dolls,"Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Dolls Sweet Stop Ice Cream Truck for Dolls, 18""","Our Generation Ice Cream Truck for 18 Inch Dolls, Pink",,,,,1,B01DJ69LAG,B01DJ69LAG,B01DJ69LAG,B06XRH3XV8,,,,
amazon,Dead of Winter,The Broken Token Box Organizer for Dead of Winter,Dead of Winter Warring Colonies Board Game EXPANSION | Post-Apocalyptic Survival Game | Strategy Game for Adults and Teens | Ages 13+ | 4-11 Players | Avg. Playtime 1-2 Hours | Made by Plaid Hat Games,e-Raptor Insert Dead of Winter: The Long Night,Gale Force Nine 1 X Winter/Dead Static Grass Round GF9,Fall & Winter Fun,Day of the Dead,Water Beads,Bessmoso Winter,0,B00TR3XEWC,B0763ZD5ZS,B0761XCK3Y,B001N1BWU2,B000VE75K8,B00BXDYMP2,B0B5CZSWR9,B07ZPR8MZ1
yelp,I Love Sushi Nashville,,,,,,,,,1,y5OovQyNsJ77O0AR2XPIww,o7rnojK3FKPP7PMwt7eB9g,o7rnojK3FKPP7PMwt7eB9g,oeGv2lfbSMfwZ0x7jvOQdQ,yGVADcNFkErA-ahlAYOAjQ,7T8_htSMHuSzKqiwjSt3iA,o8lpZb2Sb4EPFhqFMdy6HQ,
yelp,Imperial Bar & Lounge,,,,,,,,,0,RFJVSJ8Wt9DfFJsoNNar3Q,VOGWnQHijIpURf4eNSvIaw,bf29mZGqWBAJ_48RjdCjsQ,uVCMVOTyL4-j4M37o01MwA,MWsKtSvWs2zaLveBCzj3_g,G2okUNH-Jeks8hqJvSilcw,6coKSHnZu8pWHhNPpNM1jA,7HcaaocVkMj3g7OiIVWy6g
amazon,Toddler Play Kitchen Set with Realistic Accessories,"GILOBABY Mini Kitchen Playset, Pretend Play Cooking Toys with Realistic Sink and Play Food Accessories, Ideal Early Learning Educational Role Play Toy Birthday for Kids Toddler Children","Pretend Play Food Set,Toy Food for Toddler Kids Kitchen Playset,Realistic Vegetables Fake Food Toy Kitchen Accessories,Soft Squeeze Toy Food Assortment","Pink Kitchen Playset Pretend Food, Fun Play Kitchen Set for Kids, Pink Kitchen w/ Realistic Lights & Sounds, Kids Kitchen Playset, Kitchen Accessories Set Toddler playset for Kids Toddlers Ages 3-8",UNIH Play Kitchen Toy for Girls Pretend Pink Kids Kitchen Playset Toddler Toy with Realistic Lights & Sounds and Other Kitchen Accessories Toys for Kids Gift,Kids Kitchen Pretend Play Accessories Toys Set,KidKraft Girl's Pink Toddler Kitchen with Accessories,Hape Pop Up Toaster Wooden Play Kitchen Set with Accessories,Pink Assembled Toddler Kitchen with 22 Accessories,0,B088PFXQ7K,B0B6N6L8ZB,B09FGLG1N6,B08F58Z31M,B08C2TFVBC,B00CZBEQMA,B00712NTWQ,B0189HG8JM
yelp,Harmony Yoga Studio,,,,,,,,,0,U_CN8t4N2iSVuj_5Aqcjzg,DSW2XVPyRLgVmNLsBpzzvA,DcnWM3H1MaUcAMqSWXiT8g,jyonW-D1Xob4UXRGobv8GQ,_d9OT_1ryjw3sFp6L1jGlA,DE-LoO6AErqxi8mPv7caAw,AMdtqq1zjcsV7uSNmhbBbA,
yelp,Panera Bread,,,,,,,,,1,tP8wd-9CrI_RkHK424oifQ,tP8wd-9CrI_RkHK424oifQ,tP8wd-9CrI_RkHK424oifQ,tP8wd-9CrI_RkHK424oifQ,,,,
yelp,VCA Animal Hospital,,,,,,,,,1,bLjFXzhUH5xogVvYw4dDzg,8pLHRpAe6YPL0FVOKkyVKw,eRtrcUyflgHRyrP1-yPMsg,rjeH0b1F7qj2gxxOO8vzYA,jJ_T5XLHXApzSWykjI1Pnw,aLH9E3fqoBGvwQ7qIK1z4Q,HYAhbjNOQH8CwssHuZ4oqw,Vn4ww0bYqyyR81eGSyhCEg
amazon,LEGO DUPLO Large Building Brick Set,JIXIn Dinosaur Marble Run Building Blocks/Compatible with LEGO DUPLO/Dino Eggs Fun Marble Maze Blocks/125 PCS Classic Brick Building Toy Set for Preschool Kids/Gift Toy for Boys/Girls Age 3 4 5 6 7 8+,"LEGO StoryTales DUPLO Brick Set 45005, Language Development Educational Toy for Girls and Boys Ages 3 and up (109 Pieces)",LEGO DUPLO My First Animal Brick Box 10863 Building Blocks (34 Pieces),"LEGO DUPLO Disney Princess Frozen Ice Castle 10899 Building Toy with Light Brick, Princess Elsa and Anna Mini-Dolls Plus Olaf Figure, Gifts for 2 Year Old Toddlers, Girls & Boys",LEGO Duplo 2598 Large Red Building Plate,LEGO DUPLO Brick Set,Melissa & Doug Sand Brick-Building Set,"LEGO DUPLO Town Big Farm 10525 Toddler Toy, Large Building Bricks",6,B0BTPCJ3XS,B00HFV0SLS,B075M1G94H,B08X2PZ298,B0031M70N4,B002OSWHHA,B00AYARHN4,B00GSN5A94
amazon,Disney Frozen 2 Elsa & Anna Plush Set – 12‑Inch Soft Toys,"Disney Frozen 2, 25-Piece Foam Jigsaw Puzzle Toy for Girls & Boys Elsa Anna Olaf Winter Snow Movie Merch Party Favor, for Kids Ages 4 and up","Disney Frozen Petite Anna & Elsa Dolls with Surprise Trolls Gift Set, Each Doll is Approximately 6 inches Tall - Includes 2 Troll Friends! Perfect for Any Frozen Fan!",MALLMALL6 30Pcs Princess Centerpiece Sticks Birthday Party Decorations Frozen Theme Party Supplies Table Toppers Elsa Anna Stickers Party Favors Winter Snowflakes Room Decor Photo Booth Props for Kids,"Bendon Disney Frozen Princess Board Book Set Storybook Set Featuring Anna, Elsa, Belle, Ariel, Cinderella, and More",Disney Frozen 2 Olaf Plush Toy 10.5 inch,Disney Anna Toddler Doll – Frozen – 15 ½ Inches,Disney Queen Anna Plush Doll – Frozen 2 – Medium – 18'' inches,Disney Tsum Tsum Plushes Frozen Set of 2 -Anna and Kristof,0,B07RZ9FZL2,B07KXNMP8X,B07WD451B5,B00OIBS2DE,B07ZJPZH4Z,B08HJRWRFG,B086VMWNGC,B01CKS3GHI
yelp,The Stage on Broadway,,,,,,,,,1,sO1OD0SZkXXPtIXj2cS4oA,VbUDx8w9hWMh6GvgTqhuuQ,46fEorqn2nVbxdclHdHdKg,44CGMbwgAXCPBXB-7V3B2Q,RoDJLbvKGbZxTveR__0big,e7adoHmpwT3e5Ei3Pfe4Lg,JBGmPq8haIiGguA-p8pK4A,
movielens,Avengers: Endgame (2019),,,,,,,,,0,3889,78959,79599,159542,190511,439,136257,2153
yelp,The Sweet Spot Bakery,,,,,,,,,2,HxlFnUI9-RNKlKD2zUwzWQ,CLzPxFpQSLCGrYNsj-lCDA,QAMJIJQ7SMO-C5xUN37iIw,CLzPxFpQSLCGrYNsj-lCDA,GWgiPFdz7rgc3DS-pTkMWQ,QLHhAl2jBdNePMlr7QRADQ,,
yelp,Ybor City Pizza Co.,,,,,,,,,0,G-F_d3Lchz_XKObaGddI4A,h8iDZcXLDicI_Wg8fwl-ig,A9XGPIn4ZSGVeB2AGoF2aw,ZiQiMlvgk19GrEEkN9kyRA,wDsyh_29ycKVC3pefiqO6w,kNdvmd1SRqWdkj5qZ6Ud5w,deJd43rpViQxkOmn-gz-Lg,
amazon,PlanToys Drum Set,PlanToys Big Drum II,PlanToys Solid Drum Toddler Musical Instrument - Sustainably Made from Rubberwood Featuring Organic-Pigment Coloring and Water-Based Dyes Featuring Drumstick with Rubber Head,PlanToys Solid Drum Toddler Musical Instrument - Sustainably Made from Rubberwood Featuring Organic-Pigment Coloring and Water-Based Dyes Featuring Drumstick with Rubber Head,PlanToys Solid Drum Musical Instrument in Natural Wood (6439) | Sustainably Made from Rubberwood and Non-Toxic Paints and Dyes |PlanNatural Classic Wooden Toy Collection,PlanToys Bus Stop,PlanToys Shape and Sort,PlanToys Tree House,,0,B002P8R6YS,B00009YOQW,B00009YOQW,B084GH4Z9W,B0001VUSOQ,B0001VUNV4,B001E83TP0,
movielens,The Departed,,,,,,,,,1,48516,138984,168756,183205,,,,
amazon,Playskool Heroes Transformers Rescue Bots Salvage The Construction-Bot Action Figure,"Transformers Playskool Heroes Rescue Bots Academy Wedge The Construction-Bot Converting Toy, 4.5"" Figure, Toys for Kids Ages 3 & Up","Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure,Green",Playskool Heroes Transformers Rescue Bots Boulder the Construction-Bot Figure,Transformers Playskool Heroes Rescue Bots Academy Wedge The Construction-Bot,Playskool Heroes Transformers Rescue Bots Boulder The Construction-Bot Figure,Transformers Rescue Bots Playskool Heroes Boulder The Construction-Bot Figure,Playskool Heroes Transformers Rescue Bots Rescan Boulder Construction Bot Action Figure,,0,B07PJLCNLF,B00IHHHKE2,B00A8UT5TY,B07BKLMXJV,B00UJ2HDS6,B004S6E4TU,B011KD5CTE,
yelp,Abe Fisher,,,,,,,,,1,vhDWGF-8BfsxvS7Zo5Wv2w,UOWXGW5j1BV-iiqtbBS6jQ,L_piwi81xQ8ZsMR-fhBKpg,YedKs_jpocLcOHCzcRJ7cQ,w07KQ6UGshK-Xpb2Nrqxng,w07KQ6UGshK-Xpb2Nrqxng,w07KQ6UGshK-Xpb2Nrqxng,
movielens,Mission: Impossible II,,,,,,,,,1,3623,648,45186,91630,174833,,,
yelp,Baked & Wired,,,,,,,,,0,AQfAhiVYzRDH9h0t1TiIIA,ts9AK83XM3506jXA8xd2Tg,owjryf1VM333UrGOnHzqDQ,8ohbOM0ulHhPuNAbtTMvbQ,2D4xIM1ahHTQa6iV4m3p9Q,DrG7_po9ePnGEBROXd-1IA,,
movielens,X2: X-Men United,,,,,,,,,1,6333,3764,3793,45499,129405,45210,3673,
